project,project_label,param_id,TreeCluster_threshold,SampleID,n_haplotypes,n_TreeCluster_branches,TreeCluster_combo,branches,total_frequency,is_cross_branch_sample,year_month,geo_stratum,stratum,virus_clade,collection_date,geographic_location
PRJNA1037681,Australia,TF003_T15,0.01,SRR26779974,2,2,C4+C10,C4+C10,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/10,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26779976,3,2,C8+C10,C8+C10,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/8,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26779980,2,2,C4+C10,C4+C10,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/25,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26779981,2,2,C10+Unclustered,C10+Unclustered,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/10,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26779985,2,2,C6+C10,C6+C10,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/17,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26779989,2,2,C5+C10,C5+C10,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/26,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26779994,2,2,C7+C10,C7+C10,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/2,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780031,1,1,C4,C4,1.0,False,2022-08,Sydney,2022-08|Sydney,A.D.3.1,2022/8/5,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780033,2,2,C4+C10,C4+C10,0.9999999999999998,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/19,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780034,2,2,C10+Unclustered,C10+Unclustered,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/27,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780041,3,3,C3+C8+C10,C3+C8+C10,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/3,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780042,2,2,C5+C10,C5+C10,0.9999999999999999,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/14,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780044,2,1,C1,C1,1.0,False,2022-06,Sydney,2022-06|Sydney,A.D.3.3,2022/6/13,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780046,2,1,C2,C2,1.0,False,2022-06,Sydney,2022-06|Sydney,A.D.3,2022/6/5,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780048,2,2,C4+C10,C4+C10,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/8,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780050,2,1,C2,C2,1.0,False,2022-06,Sydney,2022-06|Sydney,A.D.3,2022/6/6,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780067,1,1,Unclustered,Unclustered,1.0,False,2022-05,Sydney,2022-05|Sydney,A.D.3.1,2022/5/30,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780110,2,1,C2,C2,0.9999999999999999,False,2022-07,Sydney,2022-07|Sydney,A.D.3,2022/7/2,Australia: Sydney
PRJNA1037681,Australia,TF003_T15,0.01,SRR26780112,2,2,C10+Unclustered,C10+Unclustered,1.0,True,2022-08,Sydney,2022-08|Sydney,A.D.3.1,2022/8/3,Australia: Sydney
