sample,status,seconds,fasta,json,log,project,project_label,param_id,tf,t
SRR26780146,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780146/SRR26780146.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780146/SRR26780146.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780146/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780205,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780205/SRR26780205.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780205/SRR26780205.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780205/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780219,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780219/SRR26780219.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780219/SRR26780219.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780219/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780110,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780110/SRR26780110.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780110/SRR26780110.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780110/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780217,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780217/SRR26780217.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780217/SRR26780217.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780217/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780206,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780206/SRR26780206.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780206/SRR26780206.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780206/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780237,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780237/SRR26780237.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780237/SRR26780237.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780237/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR29679737,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679737/SRR29679737.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679737/SRR29679737.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679737/cliquesnv.log,PRJNA1130896,United States,TF003_T15,0.03,15
SRR29679729,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679729/SRR29679729.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679729/SRR29679729.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679729/cliquesnv.log,PRJNA1130896,United States,TF003_T15,0.03,15
SRR29679712,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679712/SRR29679712.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679712/SRR29679712.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679712/cliquesnv.log,PRJNA1130896,United States,TF003_T15,0.03,15
SRR29679723,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679723/SRR29679723.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679723/SRR29679723.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679723/cliquesnv.log,PRJNA1130896,United States,TF003_T15,0.03,15
SRR29679809,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679809/SRR29679809.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679809/SRR29679809.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679809/cliquesnv.log,PRJNA1130896,United States,TF003_T15,0.03,15
SRR29679754,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679754/SRR29679754.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679754/SRR29679754.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679754/cliquesnv.log,PRJNA1130896,United States,TF003_T15,0.03,15
SRR29679706,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679706/SRR29679706.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679706/SRR29679706.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679706/cliquesnv.log,PRJNA1130896,United States,TF003_T15,0.03,15
SRR29679720,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679720/SRR29679720.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679720/SRR29679720.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679720/cliquesnv.log,PRJNA1130896,United States,TF003_T15,0.03,15
SRR29679738,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679738/SRR29679738.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679738/SRR29679738.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679738/cliquesnv.log,PRJNA1130896,United States,TF003_T15,0.03,15
SRR29679704,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679704/SRR29679704.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679704/SRR29679704.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1130896/SRR29679704/cliquesnv.log,PRJNA1130896,United States,TF003_T15,0.03,15
