project,SampleID,n_haplotypes,project_label,project_short,clade,collection_date,collection_dt,year_month,country,state,city,geographic_location,geo_stratum,qualified_ratio,mean_depth,median_depth,sort_date,global_sample_index,global_short_label,stratum
PRJNA1130896,SRR29692939,2,United States,US,A.D.1.5,2023/12/28,2023-12-28,2023-12,USA,OR,Portland,"USA: Oregon, Marion County",Oregon,0.9975697865353038,8471.618981937603,6868.0,2023-12-28,54,US-S54,2023-12|Oregon
PRJNA1130896,SRR29692926,1,United States,US,A.D.1.5,2023/12/29,2023-12-29,2023-12,USA,OR,Portland,"USA: Oregon, Clackamas County",Oregon,0.966896551724138,1163.2269950738917,949.0,2023-12-29,55,US-S55,2023-12|Oregon
PRJNA1130896,SRR29692928,2,United States,US,A.D.5.2,2023/12/30,2023-12-30,2023-12,USA,OR,Portland,"USA: Oregon, Washington County",Oregon,0.9947454844006568,12082.818587848931,8800.0,2023-12-30,56,US-S56,2023-12|Oregon
PRJNA1130896,SRR29692943,2,United States,US,A.D.5.2,2023/12/30,2023-12-30,2023-12,USA,OR,Portland,"USA: Oregon, Yamhill County",Oregon,0.9974384236453202,15499.595467980296,12568.0,2023-12-30,57,US-S57,2023-12|Oregon
PRJNA1130896,SRR29692824,2,United States,US,A.D.1,2023/12/31,2023-12-31,2023-12,USA,OR,Portland,"USA: Oregon, Baker County",Oregon,0.9985550082101806,11356.711133004928,9044.0,2023-12-31,58,US-S58,2023-12|Oregon
PRJNA1130896,SRR29692935,1,United States,US,A.D.1.5,2024/1/1,2024-01-01,2024-01,USA,OR,Portland,"USA: Oregon, Marion County",Oregon,0.9664367816091954,2679.382594417077,1730.0,2024-01-01,59,US-S59,2024-01|Oregon
PRJNA1130896,SRR29692977,2,United States,US,A.D.3.4,2024/1/1,2024-01-01,2024-01,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9959934318555008,8910.139770114942,6499.0,2024-01-01,60,US-S60,2024-01|Oregon
PRJNA1130896,SRR29692981,2,United States,US,A.D.5.2,2024/1/1,2024-01-01,2024-01,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.994351395730706,2285.7732676518885,1868.0,2024-01-01,61,US-S61,2024-01|Oregon
PRJNA1130896,SRR29692889,2,United States,US,A.D.1.5,2024/1/2,2024-01-02,2024-01,USA,OR,Portland,"USA: Oregon, Washington County",Oregon,0.9957963875205256,4434.04302134647,3292.0,2024-01-02,62,US-S62,2024-01|Oregon
PRJNA1130896,SRR29692974,2,United States,US,A.D.1.5,2024/1/2,2024-01-02,2024-01,USA,OR,Portland,"USA: Washington, Cowlitz County",Washington,0.988768472906404,2111.1575041050905,1540.0,2024-01-02,63,US-S63,2024-01|Washington
